,Date,,Spend,Note,,
CIBC,5/2/2022,"GO TRANSIT - BUS/01711 TORONTO, ON",12.7,Transportation,,
CIBC,5/2/2022,"FORTINOS HAMILTON, ON",2.93,Grocery,,
CIBC,5/2/2022,"SHOPPERS DRUG MART #14 HAMILTON, ON",2.99,Grocery,,
CIBC,5/3/2022,"ACADEMY CORNER STORE KELOWNA, BC",21.52,Grocery,,
CIBC,5/5/2022,"AIR CANADA ON BOARD CA MISSISSAUGA, ON",11.87,Grocery,,
CIBC,5/5/2022,"WAL-MART SUPERCENTER#3042 KELOWNA, BC",284.8,Grocery,,
CIBC,5/9/2022,"DOLLARAMA #1430 KELOWNA, BC",20.16,Grocery,,
CIBC,5/9/2022,"GCDS170 KELOWNA KELOWNA, BC",5.32,Grocery,,
CIBC,5/9/2022,"SHOPPERS DRUG MART #22 KELOWNA, BC",33.66,Grocery,,
CIBC,5/9/2022,"NESTERS MARKET KELOWNA KELOWNA, BC",2.99,Grocery,,
CIBC,5/9/2022,"SAVE ON FOODS #2224 KELOWNA, BC",37.53,Grocery,,
CIBC,5/10/2022,"WAL-MART SUPERCENTER#3042 KELOWNA, BC",98.47,Grocery,,
CIBC,5/16/2022,"ORIENTAL SUPERMARKET KELOWNA, BC",7.92,Grocery,,
CIBC,5/16/2022,"UBOX TRADING LTD. KELOWNA, BC",59.42,Grocery,,
CIBC,5/17/2022,"WAL-MART SUPERCENTER#3042 KELOWNA, BC",12.26,Grocery,,
CIBC,5/24/2022,"UBOX TRADING LTD. KELOWNA, BC",24.72,Grocery,,
CIBC,5/24/2022,"WAL-MART SUPERCENTER#3042 KELOWNA, BC",46.95,Grocery,,
CIBC,5/24/2022,"WAL-MART SUPERCENTER#3042 KELOWNA, BC",3.48,Grocery,,
CIBC,5/31/2022,"WAL*MART CANADA INC MISSISSAUGA, ON",94.5,Grocery,,
CIBC,6/6/2022,"SHOPPERS DRUG MART #02 KELOWNA, BC",19.68,Grocery,,
CIBC,6/6/2022,"SAVE ON FOODS #980 KELOWNA, BC",21.65,Grocery,,
CIBC,6/8/2022,"BC LOTTERY CORP KELOWNA, BC",22.5,Transportation,,
CIBC,6/14/2022,"WAL*MART CANADA INC MISSISSAUGA, ON",44.55,Grocery,,
CIBC,6/17/2022,"SPECIALTY BAKERY KELOWNA, BC",2.72,Socialization,,
CIBC,6/20/2022,"REAL CDN SUPERSTORE #1 KELOWNA, BC",22.24,Grocery,,
CIBC,6/27/2022,"WAL*MART CANADA INC MISSISSAUGA, ON",71.44,Grocery,,
CIBC,7/4/2022,"DOLLARAMA #1253 KELOWNA, BC",4.48,Grocery,,
CIBC,7/4/2022,"SHOPPERS DRUG MART #21 KELOWNA, BC",4.58,Grocery,,
CIBC,7/4/2022,"SHOPPERS DRUG MART #21 KELOWNA, BC",22.5,Grocery,,
CIBC,7/4/2022,"WAL*MART CANADA INC MISSISSAUGA, ON",39.75,Grocery,,
CIBC,7/6/2022,"BAMBOO CHOPSTICKS EXPRESS KELOWNA, BC",43.05,Socialization,,
CIBC,7/6/2022,"SHOPPERS DRUG MART #02 KELOWNA, BC",5.58,Grocery,,
CIBC,7/18/2022,"REAL CDN SUPERSTORE #1 KELOWNA, BC",88.73,Grocery,,
CIBC,7/18/2022,"WAL*MART CANADA INC MISSISSAUGA, ON",55.38,Grocery,,
CIBC,7/21/2022,"DRIVER SERVICES CENTRE KELOWNA, BC",31,DriverLicense,,
CIBC,7/25/2022,"SQ *PETERS U-PICK VERNON, BC",7.07,Grocery,,
CIBC,7/25/2022,"WAL*MART CANADA INC MISSISSAUGA, ON",54.27,Grocery,,
Cash,,,20,Transportation,,
Cash,,,30,Transportation,,
Cash,,,30,Socialization,,
TD,7/18/2022,FRESHCO #8946       ,13.21,Grocery,,
RBC,5/2/2022,Email Trfs,1000,Rent,,
RBC,5/3/2022,Email Trfs,1000,Rent,,
RBC,6/1/2022,Email Trfs,1000,Rent,,
RBC,6/2/2022,Email Trfs,1000,Rent,,
RBC,6/30/2022,Email Trfs,1000,Rent,,
RBC,7/4/2022,Email Trfs,1000,Rent,,
RBC,6/29/2022,CARFAX CANADA ULC 866-835-8612 ON,124.9,Others,,
RBC,6/28/2022,WWWINTERAC PUR 8160,88.11,Others,,
RBC,7/8/2022,Email Trfs,76.5,DriverLicense,,
RBC,7/9/2022,FIDO Mobile ******4629 888-481-3436 ON,75.17,Phone bill,,
RBC,7/7/2022,Email Trfs,75,Grocery,,
RBC,6/7/2022,FIDO Mobile ******4629 888-481-3436 ON,73.44,Phone bill,,
RBC,6/20/2022,Email Trfs,73,Grocery,,
RBC,7/19/2022,MTO RUS JTIPS LASO-IDRU DOWNSVIEW ON,18,DriverLicense,,
RBC,5/9/2022,CANCO PETROLEUM,9.83,Transportation,,
RBC,7/13/2022,Email Trfs,3,Grocery,,
,,,98.31,Phone bill,,
,,,387.79,Others,,
,,,,,,
,,,,,,
,,,,,,
Total,,,75.77,Socialization,,75.77
,,,1397.6,Grocery,,1358.63
,,,95.03,Transportation,,95.03
,,,125.5,DriverLicense,,125.5
,,,246.92,Phone bill,,148.61
,,,6000,Rent,,6000
,,,600.8,Others,,213.01
,,,8541.62,Total,,
,,,2541.62,TotalOfLivingCost,,
